dataset,outcome,method,n,n_unique_samples,pearson_mean,spearman_mean,mean_confidence_drop
kepler,FN,occlusion,17,17,-0.00528407515071976,-0.020010350181128168,-0.11261035304735689
kepler,FN,consensus,17,17,-0.05359119266792808,-0.06365361393824391,-0.11261035304735689
kepler,FN,saliency,17,17,-0.09033176561993321,-0.06742711747455579,-0.11261035304735689
kepler,FN,integrated_gradients,17,17,-0.2431073618905811,-0.2579782646196308,-0.11261035304735689
kepler,FP,integrated_gradients,35,35,0.4155419025564952,0.39591537494763296,0.13194590040615628
kepler,FP,consensus,35,35,0.34203179901848396,0.3105571847507331,0.13194590040615628
kepler,FP,occlusion,35,35,0.2702407272104679,0.23817553414327608,0.13194590040615628
kepler,FP,saliency,35,35,0.21167849837511143,0.23817553414327608,0.13194590040615628
kepler,TN,saliency,40,40,0.04262981734828311,0.06452596224503378,-0.0421545410528779
kepler,TN,consensus,40,40,0.036090558344018885,0.028848081329103464,-0.0421545410528779
kepler,TN,occlusion,40,40,0.021961147460676823,-0.004347998281277772,-0.0421545410528779
kepler,TN,integrated_gradients,40,40,-0.016610827626790226,-0.013553339047354075,-0.0421545410528779
kepler,TP,integrated_gradients,40,40,0.2627525436903838,0.28665689149560114,0.10731319561600686
kepler,TP,saliency,40,40,0.20959188633388895,0.21749450146627564,0.10731319561600686
kepler,TP,consensus,40,40,0.18677317311654984,0.1875733137829912,0.10731319561600686
kepler,TP,occlusion,40,40,0.13467640469607245,0.12601722873900292,0.10731319561600686
tess,FN,occlusion,20,20,0.20850475382363554,0.17485337243401758,-0.18384611122310163
tess,FN,consensus,20,20,-0.03279298072265122,-0.08187316715542522,-0.18384611122310163
tess,FN,saliency,20,20,-0.08985093590872137,-0.13548387096774192,-0.18384611122310163
tess,FN,integrated_gradients,20,20,-0.37851959128406093,-0.46400293255131964,-0.18384611122310163
tess,FP,occlusion,28,28,0.7007459092713386,0.7220753037285295,0.3267187662422657
tess,FP,integrated_gradients,28,28,0.5904519456229274,0.6170794930875576,0.3267187662422657
tess,FP,consensus,28,28,0.5895198029811891,0.6078236279849182,0.3267187662422657
tess,FP,saliency,28,28,0.12529997591764683,0.13857614160033513,0.3267187662422657
tess,TN,occlusion,40,40,0.41670016164685847,0.3909329899758824,-0.11719146235845983
tess,TN,consensus,40,40,0.23340316922509907,0.1983376118417601,-0.11719146235845983
tess,TN,saliency,40,40,0.07337537829769403,0.055429814466511594,-0.11719146235845983
tess,TN,integrated_gradients,40,40,0.020946112064101956,-0.01756588682827317,-0.11719146235845983
tess,TP,occlusion,40,40,0.7133773320721644,0.7902281172502486,0.19745148327201606
tess,TP,integrated_gradients,40,40,0.6763945038376931,0.7646968627859401,0.19745148327201606
tess,TP,consensus,40,40,0.6545120539484856,0.7231231494325837,0.19745148327201606
tess,TP,saliency,40,40,0.22408279651758511,0.23503554639985494,0.19745148327201606
