dataset,index,raw_label,y_true,pred_label,outcome,method,base_probability,base_target_confidence,n_perturbations,mask_fraction,faithfulness_pearson,faithfulness_spearman,mean_confidence_drop,std_confidence_drop,negative_drop_fraction,mean_attribution_sum,std_attribution_sum,valid_correlation
kepler,0,no-PC,0,1,FP,saliency,0.836514949798584,0.836514949798584,32,0.1,0.17765265009246023,0.1407624633431085,0.20416846871376038,0.14123305678367615,0.1875,6.179445683956146,1.2664595421948406,True
kepler,0,no-PC,0,1,FP,integrated_gradients,0.836514949798584,0.836514949798584,32,0.1,0.12957416329775814,0.05755131964809384,0.20416846871376038,0.14123305678367615,0.1875,5.224000617861748,0.8061842220310227,True
kepler,0,no-PC,0,1,FP,occlusion,0.836514949798584,0.836514949798584,32,0.1,0.030944000740383695,0.08027859237536657,0.20416846871376038,0.14123305678367615,0.1875,100.68247961997986,4.294697944012912,True
kepler,0,no-PC,0,1,FP,consensus,0.836514949798584,0.836514949798584,32,0.1,0.1297468268035543,0.1726539589442815,0.20416846871376038,0.14123305678367615,0.1875,41.21763050556183,1.8209131334531505,True
kepler,9,no-PC,0,0,TN,saliency,1.962672385724673e-11,0.9999999999803733,32,0.1,,,0.0,0.0,0.0,16.01694104075432,1.358328987981736,False
kepler,9,no-PC,0,0,TN,integrated_gradients,1.962672385724673e-11,0.9999999999803733,32,0.1,,,0.0,0.0,0.0,13.146547347307205,0.93447376815474,False
kepler,9,no-PC,0,0,TN,occlusion,1.962672385724673e-11,0.9999999999803733,32,0.1,,,0.0,0.0,0.0,0.0,0.0,False
kepler,9,no-PC,0,0,TN,consensus,1.962672385724673e-11,0.9999999999803733,32,0.1,,,0.0,0.0,0.0,16.15512666106224,1.1111136174007161,False
kepler,25,no-PC,0,1,FP,saliency,0.7821220755577087,0.7821220755577087,32,0.1,0.44391122011166406,0.4816715542521994,0.26649975776672363,0.0971144437789917,0.0,12.702407240867615,1.605822957244922,True
kepler,25,no-PC,0,1,FP,integrated_gradients,0.7821220755577087,0.7821220755577087,32,0.1,0.7009556419898776,0.5879765395894427,0.26649975776672363,0.0971144437789917,0.0,3.650121584534645,0.8503037797474301,True
kepler,25,no-PC,0,1,FP,occlusion,0.7821220755577087,0.7821220755577087,32,0.1,0.3836541680055879,0.20234604105571843,0.26649975776672363,0.0971144437789917,0.0,82.37923502922058,3.586095219890216,True
kepler,25,no-PC,0,1,FP,consensus,0.7821220755577087,0.7821220755577087,32,0.1,0.4762981217965199,0.34347507331378296,0.26649975776672363,0.0971144437789917,0.0,48.51174557209015,2.192636633179525,True
kepler,37,no-PC,0,0,TN,saliency,9.757727958970008e-10,0.9999999990242272,32,0.1,,,0.0,0.0,0.0,16.71857014298439,1.2685561138868875,False
kepler,37,no-PC,0,0,TN,integrated_gradients,9.757727958970008e-10,0.9999999990242272,32,0.1,,,0.0,0.0,0.0,20.5929896235466,1.5525034553103105,False
kepler,37,no-PC,0,0,TN,occlusion,9.757727958970008e-10,0.9999999990242272,32,0.1,,,0.0,0.0,0.0,0.0,0.0,False
kepler,37,no-PC,0,0,TN,consensus,9.757727958970008e-10,0.9999999990242272,32,0.1,,,0.0,0.0,0.0,23.026506304740906,1.459891040163108,False
kepler,39,PC,1,0,FN,saliency,0.39616188406944275,0.6038381159305573,32,0.1,-0.1337095070735735,-0.2111436950146627,-0.12740905582904816,0.106625497341156,0.875,5.474350348114967,1.1770975821899847,True
kepler,39,PC,1,0,FN,integrated_gradients,0.39616188406944275,0.6038381159305573,32,0.1,-0.0644617542784096,-0.017961876832844573,-0.12740905582904816,0.106625497341156,0.875,7.694299101829529,1.0799462836454912,True
kepler,39,PC,1,0,FN,occlusion,0.39616188406944275,0.6038381159305573,32,0.1,-0.028362772486732492,-0.005865102639296188,-0.12740905582904816,0.106625497341156,0.875,23.959693133831024,3.0626356277360807,True
kepler,39,PC,1,0,FN,consensus,0.39616188406944275,0.6038381159305573,32,0.1,-0.09888251250947341,-0.1033724340175953,-0.12740905582904816,0.106625497341156,0.875,18.759256213903427,1.6336866179650271,True
kepler,40,no-PC,0,0,TN,saliency,1.4046392493582971e-08,0.9999999859536075,32,0.1,0.16798759656249107,0.13508829677757908,1.30385160446167e-08,2.464047987871254e-08,0.0,8.586899444460869,1.2886931832753046,True
kepler,40,no-PC,0,0,TN,integrated_gradients,1.4046392493582971e-08,0.9999999859536075,32,0.1,0.04239087232661732,0.0695909407642074,1.30385160446167e-08,2.464047987871254e-08,0.0,11.026172161102295,1.3446446860198549,True
kepler,40,no-PC,0,0,TN,occlusion,1.4046392493582971e-08,0.9999999859536075,32,0.1,0.09747345866968798,0.02046792375417865,1.30385160446167e-08,2.464047987871254e-08,0.0,24.286985635757446,2.940761986653071,True
kepler,40,no-PC,0,0,TN,consensus,1.4046392493582971e-08,0.9999999859536075,32,0.1,0.10521457887621058,0.06140377126253595,1.30385160446167e-08,2.464047987871254e-08,0.0,17.891484647989273,1.7360651365996196,True
kepler,41,PC,1,0,FN,saliency,0.4755890369415283,0.5244109630584717,32,0.1,-0.2168759930530354,-0.15065982404692083,-0.24779082834720612,0.1600659191608429,0.84375,6.368479646742344,1.1523501579030626,True
kepler,41,PC,1,0,FN,integrated_gradients,0.4755890369415283,0.5244109630584717,32,0.1,-0.4550028483999492,-0.3969941348973607,-0.24779082834720612,0.1600659191608429,0.84375,5.1741290763020515,0.797888166622123,True
kepler,41,PC,1,0,FN,occlusion,0.4755890369415283,0.5244109630584717,32,0.1,0.09343933278803669,0.10703812316715541,-0.24779082834720612,0.1600659191608429,0.84375,24.1930171251297,3.2069928252007736,True
kepler,41,PC,1,0,FN,consensus,0.4755890369415283,0.5244109630584717,32,0.1,-0.08368340157108858,0.05461876832844574,-0.24779082834720612,0.1600659191608429,0.84375,18.604804813861847,1.9008704565053345,True
kepler,42,no-PC,0,0,TN,saliency,2.658523271747981e-06,0.9999973414767283,32,0.1,0.3806118090723876,0.33250847907958075,5.8729201555252075e-06,4.812797669728752e-06,0.0,6.598487466573715,1.2344629074565414,True
kepler,42,no-PC,0,0,TN,integrated_gradients,2.658523271747981e-06,0.9999973414767283,32,0.1,0.37191338626320614,0.3546879311019783,5.8729201555252075e-06,4.812797669728752e-06,0.0,3.049380473792553,0.6191592188059403,True
kepler,42,no-PC,0,0,TN,occlusion,2.658523271747981e-06,0.9999973414767283,32,0.1,-0.11033111429529642,-0.036110347507539914,5.8729201555252075e-06,4.812797669728752e-06,0.0,28.40779721736908,3.00143457917042,True
kepler,42,no-PC,0,0,TN,consensus,2.658523271747981e-06,0.9999973414767283,32,0.1,-0.014055130707878031,-0.03794336007137442,5.8729201555252075e-06,4.812797669728752e-06,0.0,18.072864025831223,1.8002764095987,True
kepler,55,no-PC,0,0,TN,saliency,5.297179583862999e-09,0.9999999947028204,32,0.1,,,0.0,0.0,0.0,8.822497233748436,1.169080761719929,False
kepler,55,no-PC,0,0,TN,integrated_gradients,5.297179583862999e-09,0.9999999947028204,32,0.1,,,0.0,0.0,0.0,12.711570352315903,1.2067724475321033,False
kepler,55,no-PC,0,0,TN,occlusion,5.297179583862999e-09,0.9999999947028204,32,0.1,,,0.0,0.0,0.0,14.04166665673256,2.7555971810187567,False
kepler,55,no-PC,0,0,TN,consensus,5.297179583862999e-09,0.9999999947028204,32,0.1,,,0.0,0.0,0.0,24.596409857273102,2.220113574958629,False
kepler,73,no-PC,0,0,TN,saliency,4.191499092254247e-10,0.9999999995808501,32,0.1,,,0.0,0.0,0.0,12.91478106379509,1.2779024367200715,False
kepler,73,no-PC,0,0,TN,integrated_gradients,4.191499092254247e-10,0.9999999995808501,32,0.1,,,0.0,0.0,0.0,12.008473426103592,1.180530137847467,False
kepler,73,no-PC,0,0,TN,occlusion,4.191499092254247e-10,0.9999999995808501,32,0.1,,,0.0,0.0,0.0,0.0,0.0,False
kepler,73,no-PC,0,0,TN,consensus,4.191499092254247e-10,0.9999999995808501,32,0.1,,,0.0,0.0,0.0,15.732285767793655,1.380734357506106,False
kepler,88,no-PC,0,0,TN,saliency,2.1514901860086866e-08,0.9999999784850981,32,0.1,0.05307791102987634,0.2172049541763915,2.3283064365386963e-07,3.0442140541708795e-07,0.0,12.78686711192131,1.3927619958791644,True
kepler,88,no-PC,0,0,TN,integrated_gradients,2.1514901860086866e-08,0.9999999784850981,32,0.1,0.3192342420914504,0.2016903145923635,2.3283064365386963e-07,3.0442140541708795e-07,0.0,6.673005536198616,0.8641927967936591,True
kepler,88,no-PC,0,0,TN,occlusion,2.1514901860086866e-08,0.9999999784850981,32,0.1,0.41156834331928477,0.15590320752730535,2.3283064365386963e-07,3.0442140541708795e-07,0.0,42.983312487602234,3.6446132994607963,True
kepler,88,no-PC,0,0,TN,consensus,2.1514901860086866e-08,0.9999999784850981,32,0.1,0.4217780950907304,0.24388256614404932,2.3283064365386963e-07,3.0442140541708795e-07,0.0,34.205839455127716,2.2348290542720446,True
kepler,110,no-PC,0,0,TN,saliency,1.4700376027576567e-08,0.999999985299624,32,0.1,0.23365879259261305,0.2283768120563043,5.029141902923584e-08,2.164198065202072e-08,0.0,10.694309741258621,1.5628670557381203,True
kepler,110,no-PC,0,0,TN,integrated_gradients,1.4700376027576567e-08,0.999999985299624,32,0.1,0.12760027886777053,0.07923277152973822,5.029141902923584e-08,2.164198065202072e-08,0.0,11.949962437152863,1.5019570084140232,True
kepler,110,no-PC,0,0,TN,occlusion,1.4700376027576567e-08,0.999999985299624,32,0.1,0.09520892979184872,0.08855427406264861,5.029141902923584e-08,2.164198065202072e-08,0.0,31.81845897436142,3.262443014116042,True
kepler,110,no-PC,0,0,TN,consensus,1.4700376027576567e-08,0.999999985299624,32,0.1,0.1239035889313011,0.08855427406264861,5.029141902923584e-08,2.164198065202072e-08,0.0,29.46607381105423,2.3984475785060204,True
kepler,111,no-PC,0,0,TN,saliency,2.084838435223446e-08,0.9999999791516156,32,0.1,0.2685079606328827,0.2774856222341216,4.842877388000488e-08,2.3264430382141654e-08,0.0,9.376891687512398,1.2466014728097732,True
kepler,111,no-PC,0,0,TN,integrated_gradients,2.084838435223446e-08,0.9999999791516156,32,0.1,0.4663603479378631,0.4855998389097128,4.842877388000488e-08,2.3264430382141654e-08,0.0,10.580468758940697,1.256954212093243,True
kepler,111,no-PC,0,0,TN,occlusion,2.084838435223446e-08,0.9999999791516156,32,0.1,-0.16512192846218382,-0.173428513896326,4.842877388000488e-08,2.3264430382141654e-08,0.0,50.36516618728638,2.940656716552494,True
kepler,111,no-PC,0,0,TN,consensus,2.084838435223446e-08,0.9999999791516156,32,0.1,0.07514427174298605,0.1820999395911423,4.842877388000488e-08,2.3264430382141654e-08,0.0,29.864024817943573,1.7455314742877983,True
kepler,114,no-PC,0,0,TN,saliency,1.8227194198416896e-09,0.9999999981772806,32,0.1,,,0.0,0.0,0.0,12.39855045080185,1.2718199607707505,False
kepler,114,no-PC,0,0,TN,integrated_gradients,1.8227194198416896e-09,0.9999999981772806,32,0.1,,,0.0,0.0,0.0,2.088666208088398,0.8717955975110118,False
kepler,114,no-PC,0,0,TN,occlusion,1.8227194198416896e-09,0.9999999981772806,32,0.1,,,0.0,0.0,0.0,12.671766817569733,3.165336065415951,False
kepler,114,no-PC,0,0,TN,consensus,1.8227194198416896e-09,0.9999999981772806,32,0.1,,,0.0,0.0,0.0,12.53833669424057,1.7350899009445255,False
kepler,130,no-PC,0,0,TN,saliency,0.00039114660467021167,0.9996088533953298,32,0.1,-0.4069887049289947,-0.3482404692082111,-0.00013862736523151398,9.427543409401551e-05,0.875,5.590851306915283,1.0627630203807055,True
kepler,130,no-PC,0,0,TN,integrated_gradients,0.00039114660467021167,0.9996088533953298,32,0.1,-0.2655864593302176,-0.22690615835777125,-0.00013862736523151398,9.427543409401551e-05,0.875,9.319889262318611,1.1091826934224616,True
kepler,130,no-PC,0,0,TN,occlusion,0.00039114660467021167,0.9996088533953298,32,0.1,-0.1614681489755686,-0.13233137829912023,-0.00013862736523151398,9.427543409401551e-05,0.875,26.69908744096756,3.316364677816227,True
kepler,130,no-PC,0,0,TN,consensus,0.00039114660467021167,0.9996088533953298,32,0.1,-0.2755091366885486,-0.1348973607038123,-0.00013862736523151398,9.427543409401551e-05,0.875,20.22702807188034,2.223984225946343,True
