role,dataset,category,language,original_file,academic_file,title
main_paper,kepler,confusion,espanol,kepler_matriz_confusion_normalizada_atencion_xai.png,espanol/figuras_principales/kepler_figura_principal_matriz_confusion_normalizada_atencion_xai.png,KEPLER - Matriz de confusion normalizada con resumen XAI
main_paper,kepler,confusion,english,kepler_row_normalized_confusion_matrix_xai_attention.png,english/main_figures/kepler_main_figure_row_normalized_confusion_matrix_xai_attention.png,KEPLER - Row-normalized confusion matrix with XAI summary
main_paper,tess,confusion,espanol,tess_matriz_confusion_normalizada_atencion_xai.png,espanol/figuras_principales/tess_figura_principal_matriz_confusion_normalizada_atencion_xai.png,TESS - Matriz de confusion normalizada con resumen XAI
main_paper,tess,confusion,english,tess_row_normalized_confusion_matrix_xai_attention.png,english/main_figures/tess_main_figure_row_normalized_confusion_matrix_xai_attention.png,TESS - Row-normalized confusion matrix with XAI summary
main_paper,kepler,risk_violin,espanol,kepler_score_riesgo_atencion_xai_violin.png,espanol/figuras_principales/kepler_figura_principal_violin_score_riesgo_atencion_xai.png,KEPLER - Violin plot del score de riesgo de atencion XAI
main_paper,kepler,risk_violin,english,kepler_xai_attention_risk_score_violin.png,english/main_figures/kepler_main_figure_xai_attention_risk_score_violin.png,KEPLER - Violin plot of XAI attention risk score
main_paper,tess,risk_violin,espanol,tess_score_riesgo_atencion_xai_violin.png,espanol/figuras_principales/tess_figura_principal_violin_score_riesgo_atencion_xai.png,TESS - Violin plot del score de riesgo de atencion XAI
main_paper,tess,risk_violin,english,tess_xai_attention_risk_score_violin.png,english/main_figures/tess_main_figure_xai_attention_risk_score_violin.png,TESS - Violin plot of XAI attention risk score
main_paper,kepler,focus_variance_violin,espanol,kepler_focos_atencion_y_varianza_violin.png,espanol/figuras_principales/kepler_figura_principal_violin_focos_y_varianza_atencion.png,KEPLER - Violin plot de focos y varianza de atencion
main_paper,kepler,focus_variance_violin,english,kepler_attention_focus_count_and_variance_violin.png,english/main_figures/kepler_main_figure_attention_focus_count_and_variance_violin.png,KEPLER - Violin plot of attention foci and attention variance
