dataset,index,raw_label,y_true,pred_label,outcome,probability,target_confidence,mc_std,global_focus_count,local_focus_count,total_focus_count,global_central_focus_count,local_central_focus_count,global_central_focus_fraction,local_central_focus_fraction,global_focus_density,local_focus_density,global_attention_position_variance,local_attention_position_variance,mean_attention_position_variance,global_attention_entropy,local_attention_entropy,mean_attention_entropy,global_central_importance_ratio,local_central_importance_ratio,mean_central_importance_ratio,global_peak_distance_to_center,local_peak_distance_to_center
kepler,0,no-PC,0,1,FP,0.836514949798584,0.836514949798584,0.022641874849796295,2,3,5,1,2,0.5,0.6666666666666666,0.08195902048975512,0.05472636815920398,0.0778611300486614,0.020148315113189555,0.049004722580925475,0.820704938324391,0.8156202434610617,0.8181625908927264,0.5827161925491666,0.5699886622179797,0.5763524273835732,30.0,0.0
kepler,1,no-PC,0,0,TN,5.809582717120065e-07,0.9999994190417283,2.30806961099006e-07,3,2,5,2,0,0.6666666666666666,0.0,0.06896551724137931,0.0945273631840796,0.06145676438323332,0.07620123670005143,0.06882900054164237,0.8442404902421854,0.9125645570924928,0.8784025236673392,0.24944522169213923,0.10551971313518775,0.1774824674136635,505.0,41.0
kepler,2,no-PC,0,0,TN,0.00038938256329856813,0.9996106174367014,0.00016143344691954553,3,1,4,0,1,0.0,1.0,0.0734632683658171,0.029850746268656716,0.09190005830595951,0.022328358218366432,0.05711420826216297,0.9281781331528218,0.7868832827057186,0.8575307079292702,0.10642579974435226,0.6988364227959184,0.40263111127013534,245.0,1.0
kepler,3,no-PC,0,0,TN,2.6972362320520915e-05,0.9999730276376795,8.380326107726432e-06,2,4,6,2,0,1.0,0.0,0.08245877061469266,0.0945273631840796,0.028421024766062078,0.07217957576718143,0.05030030026662175,0.8213262123194187,0.917548361841949,0.8694372870806839,0.6587947475245635,0.08918395936638171,0.37398935344547257,24.0,35.0
kepler,4,PC,1,1,TP,0.7064008116722107,0.7064008116722107,0.06430727988481522,1,5,6,1,5,1.0,1.0,0.020989505247376312,0.1044776119402985,0.03370303516595682,0.016853925330339827,0.02527848024814832,0.7593681510692731,0.7910734328007768,0.7752207919350249,0.825776682235136,0.6306768454086549,0.7282267638218954,93.0,3.0
kepler,5,no-PC,0,0,TN,0.029560785740613937,0.9704392142593861,0.003633084474131465,2,5,7,1,2,0.5,0.4,0.05347326336831584,0.0845771144278607,0.01954928315639416,0.07515989512482221,0.04735458914060819,0.8117791516777842,0.9450646288849678,0.8784218902813761,0.5156935280634579,0.24606250220177933,0.38087801513261865,507.0,19.0
kepler,6,no-PC,0,0,TN,5.951051662123064e-06,0.9999940489483379,5.816452357976232e-06,2,3,5,0,3,0.0,1.0,0.05897051474262868,0.09950248756218906,0.1615845108481173,0.052794732830187846,0.10718962183915258,0.8519430892369326,0.8972872798724753,0.8746151845547039,0.13438699742151353,0.32804984711063917,0.23121842226607636,978.0,13.0
kepler,7,no-PC,0,0,TN,1.6582552575528098e-07,0.9999998341744742,8.18800032220679e-08,3,4,7,0,1,0.0,0.25,0.057971014492753624,0.08955223880597014,0.13473302817249747,0.09944338046658983,0.11708820431954364,0.7793772319709795,0.9210246957017476,0.8502009638363636,0.005444236778824094,0.13868891669009561,0.07206657673445985,418.0,77.0
kepler,8,no-PC,0,0,TN,3.054682383663021e-05,0.9999694531761634,9.657102964411024e-06,2,4,6,1,0,0.5,0.0,0.07296351824087956,0.09950248756218906,0.07757943435651929,0.08723942002280058,0.08240942718965993,0.8468262024473313,0.9416793413045624,0.8942527718759469,0.5159892629985418,0.10147270727025444,0.3087309851343981,56.0,52.0
kepler,9,no-PC,0,0,TN,1.962668569333026e-11,0.9999999999803734,1.9458160777086064e-11,5,3,8,2,0,0.4,0.0,0.08895552223888056,0.09950248756218906,0.045787597827972315,0.08449409528686708,0.0651408465574197,0.930838837504929,0.9416651116825475,0.9362519745937383,0.24594371300552875,0.10721012456794057,0.17657691878673465,266.0,48.0
kepler,10,no-PC,0,0,TN,0.0003584807273000479,0.9996415192727,0.0001095361658371985,3,3,6,2,0,0.6666666666666666,0.0,0.050974512743628186,0.09950248756218906,0.01803709932765358,0.08416687358284372,0.051101986455248646,0.7843128793425193,0.9053775851200675,0.8448452322312934,0.6953241141996342,0.13934670666141283,0.4173354104305235,107.0,41.0
kepler,11,no-PC,0,0,TN,0.00011619335418799892,0.999883806645812,3.747148366528563e-05,6,3,9,3,0,0.5,0.0,0.09695152423788106,0.06965174129353234,0.09710783073646485,0.0918487524673417,0.09447829160190327,0.8255580791104068,0.9481173455783679,0.8868377123443874,0.39376854624272806,0.10355214282032268,0.24866034453152536,39.0,50.0
kepler,12,no-PC,0,0,TN,5.148625632500625e-07,0.9999994851374367,2.4782411855994724e-07,2,3,5,0,0,0.0,0.0,0.054972513743128434,0.0945273631840796,0.03469494117561255,0.07658710097103463,0.055641021073323596,0.8426413421003601,0.927685915568976,0.885163628834668,0.15162166303166233,0.10858912570862443,0.13010539437014337,347.0,43.0
