dataset,metric,n_error,n_correct,mean_error,mean_correct,cohen_d_error_minus_correct,roc_auc_error_when_high,roc_auc_best_direction,risk_direction
kepler,aleatoric_uncertainty,52,1522,0.4551037213442704,0.08368328740977658,2.237759207259621,0.9130066713838068,0.9130066713838068,high=risk
kepler,target_confidence,52,1522,0.7738800616666245,0.9679570874095696,-2.2313095574604938,0.08719549176185182,0.9128045082381482,low=risk
kepler,maxlike_entropy,52,1522,0.45397734919634575,0.08312067222826945,2.23595043490688,0.9128045082381482,0.9128045082381482,high=risk
kepler,mc_std,52,1522,0.020189067367307537,0.0035349124949089414,2.0057689105881273,0.9083695542302638,0.9083695542302638,high=risk
kepler,mc_dropout_std_probability,52,1522,0.020189067367307592,0.0035349124949089618,2.005768910588129,0.9083695542302638,0.9083695542302638,high=risk
kepler,epistemic_uncertainty,52,1522,0.001476719742640853,0.00028801313012599716,1.4315401586326755,0.8990826847265744,0.8990826847265744,high=risk
kepler,mean_central_importance_ratio,52,1522,0.4321274459688367,0.28613500248944235,0.9671940266529648,0.751743657131305,0.751743657131305,high=risk
kepler,attention_quality_score,52,1522,0.5827007488338449,0.47958746099963306,0.823633925054802,0.7222531082583645,0.7222531082583645,high=risk
kepler,mean_attention_position_variance,52,1522,0.05431733141030785,0.07043472990345649,-0.7546206035252766,0.28865106641059335,0.7113489335894067,low=risk
kepler,mean_attention_entropy,52,1522,0.8269436606881538,0.8499726473979715,-0.5641869112009974,0.33000606489436973,0.6699939351056303,low=risk
kepler,attention_risk_score,52,1522,0.4024774195634212,0.3661507087571314,0.449322310322204,0.6006014353583342,0.6006014353583342,high=risk
kepler,total_focus_count,52,1522,5.615384615384615,5.805519053876479,-0.10469441395594697,0.4656638532295563,0.5343361467704437,low=risk
tess,target_confidence,48,1607,0.7742925369748264,0.9714709750834214,-1.9471477762409741,0.07134152665422111,0.9286584733457789,low=risk
tess,aleatoric_uncertainty,48,1607,0.41528578886936884,0.06573906243649424,2.3699737497216753,0.9275954158888198,0.9275954158888198,high=risk
tess,maxlike_entropy,48,1607,0.4153298884727216,0.06533877396922122,2.3729809557084427,0.9275305953121759,0.9275305953121759,high=risk
tess,mc_std,48,1607,0.017351810427802115,0.00292838565601914,1.9770442495816285,0.9238228583281477,0.9238228583281477,high=risk
tess,mc_dropout_std_probability,48,1607,0.017381390716915728,0.002932868248382255,1.9747866665915432,0.9236802530595312,0.9236802530595312,high=risk
tess,epistemic_uncertainty,48,1607,0.001183683600781175,0.00024581559385771553,1.5405617716975142,0.91520820369218,0.91520820369218,high=risk
tess,mean_attention_position_variance,48,1607,0.047370813083967254,0.061589812614733494,-1.1138045806425971,0.18109572702758764,0.8189042729724123,low=risk
tess,attention_quality_score,48,1607,0.5525978022380329,0.4202445619831914,1.091500138045465,0.7819176519394316,0.7819176519394316,high=risk
tess,mean_central_importance_ratio,48,1607,0.3642653463466787,0.27117240858089564,1.0679212229013884,0.7728557353246215,0.7728557353246215,high=risk
tess,mean_attention_entropy,48,1607,0.8995574324796473,0.9172939666615938,-0.8745910630668148,0.27212974486621033,0.7278702551337897,low=risk
tess,attention_risk_score,48,1607,0.3935053295265833,0.4004463878463995,-0.08572827524125937,0.4457062850031114,0.5542937149968886,low=risk
tess,total_focus_count,48,1607,7.916666666666667,8.24082140634723,-0.15992153456204916,0.4508400746733043,0.5491599253266957,low=risk
