dataset,case,index,method,target_label,deleted_fraction,base_probability,base_target_confidence,probability_after_deletion,target_confidence_after_deletion,confidence_drop
kepler,positivo_correcto_alta_confianza,1132,saliency,1,0.0,0.9969246983528137,0.9969246983528137,0.9969246983528137,0.9969246983528137,0.0
kepler,positivo_correcto_alta_confianza,1132,saliency,1,0.05,0.9969246983528137,0.9969246983528137,0.9525042772293091,0.9525042772293091,0.04442042112350464
kepler,positivo_correcto_alta_confianza,1132,saliency,1,0.1,0.9969246983528137,0.9969246983528137,0.7805009484291077,0.7805009484291077,0.21642374992370605
kepler,positivo_correcto_alta_confianza,1132,saliency,1,0.2,0.9969246983528137,0.9969246983528137,0.5423312187194824,0.5423312187194824,0.4545934796333313
kepler,positivo_correcto_alta_confianza,1132,saliency,1,0.3,0.9969246983528137,0.9969246983528137,0.5150978565216064,0.5150978565216064,0.4818268418312073
kepler,positivo_correcto_alta_confianza,1132,saliency,1,0.5,0.9969246983528137,0.9969246983528137,0.06839320063591003,0.06839320063591003,0.9285314977169037
kepler,positivo_correcto_alta_confianza,1132,smoothgrad,1,0.0,0.9969246983528137,0.9969246983528137,0.9969246983528137,0.9969246983528137,0.0
kepler,positivo_correcto_alta_confianza,1132,smoothgrad,1,0.05,0.9969246983528137,0.9969246983528137,0.9360777139663696,0.9360777139663696,0.06084698438644409
kepler,positivo_correcto_alta_confianza,1132,smoothgrad,1,0.1,0.9969246983528137,0.9969246983528137,0.8740873336791992,0.8740873336791992,0.1228373646736145
kepler,positivo_correcto_alta_confianza,1132,smoothgrad,1,0.2,0.9969246983528137,0.9969246983528137,0.7163461446762085,0.7163461446762085,0.2805785536766052
kepler,positivo_correcto_alta_confianza,1132,smoothgrad,1,0.3,0.9969246983528137,0.9969246983528137,0.5814962387084961,0.5814962387084961,0.4154284596443176
kepler,positivo_correcto_alta_confianza,1132,smoothgrad,1,0.5,0.9969246983528137,0.9969246983528137,0.045120108872652054,0.045120108872652054,0.9518045894801617
kepler,positivo_correcto_alta_confianza,1132,integrated_gradients,1,0.0,0.9969246983528137,0.9969246983528137,0.9969246983528137,0.9969246983528137,0.0
kepler,positivo_correcto_alta_confianza,1132,integrated_gradients,1,0.05,0.9969246983528137,0.9969246983528137,0.041356172412633896,0.041356172412633896,0.9555685259401798
kepler,positivo_correcto_alta_confianza,1132,integrated_gradients,1,0.1,0.9969246983528137,0.9969246983528137,0.041026853024959564,0.041026853024959564,0.9558978453278542
kepler,positivo_correcto_alta_confianza,1132,integrated_gradients,1,0.2,0.9969246983528137,0.9969246983528137,0.17997345328330994,0.17997345328330994,0.8169512450695038
kepler,positivo_correcto_alta_confianza,1132,integrated_gradients,1,0.3,0.9969246983528137,0.9969246983528137,0.12144491076469421,0.12144491076469421,0.8754797875881195
kepler,positivo_correcto_alta_confianza,1132,integrated_gradients,1,0.5,0.9969246983528137,0.9969246983528137,0.01906265690922737,0.01906265690922737,0.9778620414435863
kepler,positivo_correcto_alta_confianza,1132,occlusion,1,0.0,0.9969246983528137,0.9969246983528137,0.9969246983528137,0.9969246983528137,0.0
kepler,positivo_correcto_alta_confianza,1132,occlusion,1,0.05,0.9969246983528137,0.9969246983528137,0.8691692352294922,0.8691692352294922,0.12775546312332153
kepler,positivo_correcto_alta_confianza,1132,occlusion,1,0.1,0.9969246983528137,0.9969246983528137,0.07368718087673187,0.07368718087673187,0.9232375174760818
kepler,positivo_correcto_alta_confianza,1132,occlusion,1,0.2,0.9969246983528137,0.9969246983528137,0.012355031445622444,0.012355031445622444,0.9845696669071913
kepler,positivo_correcto_alta_confianza,1132,occlusion,1,0.3,0.9969246983528137,0.9969246983528137,0.011185696348547935,0.011185696348547935,0.9857390020042658
kepler,positivo_correcto_alta_confianza,1132,occlusion,1,0.5,0.9969246983528137,0.9969246983528137,6.764279532944784e-05,6.764279532944784e-05,0.9968570555574843
kepler,positivo_correcto_alta_confianza,1132,gradcam,1,0.0,0.9969246983528137,0.9969246983528137,0.9969246983528137,0.9969246983528137,0.0
kepler,positivo_correcto_alta_confianza,1132,gradcam,1,0.05,0.9969246983528137,0.9969246983528137,0.9894447922706604,0.9894447922706604,0.00747990608215332
kepler,positivo_correcto_alta_confianza,1132,gradcam,1,0.1,0.9969246983528137,0.9969246983528137,0.9858394265174866,0.9858394265174866,0.011085271835327148
kepler,positivo_correcto_alta_confianza,1132,gradcam,1,0.2,0.9969246983528137,0.9969246983528137,0.8733929395675659,0.8733929395675659,0.1235317587852478
kepler,positivo_correcto_alta_confianza,1132,gradcam,1,0.3,0.9969246983528137,0.9969246983528137,0.8295642137527466,0.8295642137527466,0.16736048460006714
kepler,positivo_correcto_alta_confianza,1132,gradcam,1,0.5,0.9969246983528137,0.9969246983528137,0.6414691805839539,0.6414691805839539,0.35545551776885986
kepler,positivo_correcto_alta_confianza,1132,gradcam_multiscale,1,0.0,0.9969246983528137,0.9969246983528137,0.9969246983528137,0.9969246983528137,0.0
kepler,positivo_correcto_alta_confianza,1132,gradcam_multiscale,1,0.05,0.9969246983528137,0.9969246983528137,0.4604698717594147,0.4604698717594147,0.536454826593399
kepler,positivo_correcto_alta_confianza,1132,gradcam_multiscale,1,0.1,0.9969246983528137,0.9969246983528137,0.056468553841114044,0.056468553841114044,0.9404561445116997
kepler,positivo_correcto_alta_confianza,1132,gradcam_multiscale,1,0.2,0.9969246983528137,0.9969246983528137,0.5268378853797913,0.5268378853797913,0.47008681297302246
kepler,positivo_correcto_alta_confianza,1132,gradcam_multiscale,1,0.3,0.9969246983528137,0.9969246983528137,0.08981369435787201,0.08981369435787201,0.9071110039949417
kepler,positivo_correcto_alta_confianza,1132,gradcam_multiscale,1,0.5,0.9969246983528137,0.9969246983528137,0.03886876255273819,0.03886876255273819,0.9580559358000755
kepler,positivo_correcto_alta_confianza,1132,consensus,1,0.0,0.9969246983528137,0.9969246983528137,0.9969246983528137,0.9969246983528137,0.0
kepler,positivo_correcto_alta_confianza,1132,consensus,1,0.05,0.9969246983528137,0.9969246983528137,0.5173708200454712,0.5173708200454712,0.47955387830734253
kepler,positivo_correcto_alta_confianza,1132,consensus,1,0.1,0.9969246983528137,0.9969246983528137,0.10773377865552902,0.10773377865552902,0.8891909196972847
kepler,positivo_correcto_alta_confianza,1132,consensus,1,0.2,0.9969246983528137,0.9969246983528137,0.05011783167719841,0.05011783167719841,0.9468068666756153
kepler,positivo_correcto_alta_confianza,1132,consensus,1,0.3,0.9969246983528137,0.9969246983528137,0.02742469497025013,0.02742469497025013,0.9695000033825636
kepler,positivo_correcto_alta_confianza,1132,consensus,1,0.5,0.9969246983528137,0.9969246983528137,0.012004443444311619,0.012004443444311619,0.9849202549085021
kepler,negativo_correcto_alta_confianza,1365,saliency,0,0.0,2.1046115298960658e-19,1.0,2.1046115298960658e-19,1.0,0.0
kepler,negativo_correcto_alta_confianza,1365,saliency,0,0.05,2.1046115298960658e-19,1.0,8.284478585454148e-15,0.9999999999999917,8.326672684688674e-15
kepler,negativo_correcto_alta_confianza,1365,saliency,0,0.1,2.1046115298960658e-19,1.0,1.4451982972428674e-14,0.9999999999999856,1.4432899320127035e-14
kepler,negativo_correcto_alta_confianza,1365,saliency,0,0.2,2.1046115298960658e-19,1.0,2.956499656647793e-06,0.9999970435003434,2.956499656647793e-06
kepler,negativo_correcto_alta_confianza,1365,saliency,0,0.3,2.1046115298960658e-19,1.0,0.00045557183329947293,0.9995444281667005,0.00045557183329947293
