dataset,split,calibration,temperature,bin,bin_start,bin_end,count,confidence,accuracy,gap
kepler,test,raw,1.0,0,0.0,0.1,1135,0.003160954812637376,0.003524229074889868,0.0003632742622524921
kepler,test,raw,1.0,1,0.1,0.2,21,0.14521232069957823,0.14285714285714285,0.0023551778424353853
kepler,test,raw,1.0,2,0.2,0.30000000000000004,13,0.2391928766782467,0.15384615384615385,0.08534672283209285
kepler,test,raw,1.0,3,0.30000000000000004,0.4,9,0.36415353748533463,0.4444444444444444,0.08029090695910979
kepler,test,raw,1.0,4,0.4,0.5,18,0.43936677277088165,0.2222222222222222,0.21714455054865944
kepler,test,raw,1.0,5,0.5,0.6000000000000001,24,0.5550744210680326,0.75,0.19492557893196738
kepler,test,raw,1.0,6,0.6000000000000001,0.7000000000000001,17,0.6551444740856395,0.8235294117647058,0.16838493767906637
kepler,test,raw,1.0,7,0.7000000000000001,0.8,26,0.752246732895191,0.6923076923076923,0.05993904058749866
kepler,test,raw,1.0,8,0.8,0.9,50,0.8517288947105408,0.86,0.00827110528945918
kepler,test,raw,1.0,9,0.9,1.0,261,0.9647547198438097,0.9578544061302682,0.006900313713541495
kepler,test,temperature_scaled,1.3465145826339722,0,0.0,0.1,1111,0.005191194151245759,0.0027002700270027003,0.0024909241242430584
kepler,test,temperature_scaled,1.3465145826339722,1,0.1,0.2,32,0.1385725017171353,0.0625,0.07607250171713531
kepler,test,temperature_scaled,1.3465145826339722,2,0.2,0.30000000000000004,21,0.24963708505744026,0.14285714285714285,0.1067799422002974
kepler,test,temperature_scaled,1.3465145826339722,3,0.30000000000000004,0.4,9,0.3450426326857673,0.1111111111111111,0.2339315215746562
kepler,test,temperature_scaled,1.3465145826339722,4,0.4,0.5,23,0.44709908703099127,0.34782608695652173,0.09927300007446954
kepler,test,temperature_scaled,1.3465145826339722,5,0.5,0.6000000000000001,28,0.5473139584064484,0.7857142857142857,0.23840032730783733
kepler,test,temperature_scaled,1.3465145826339722,6,0.6000000000000001,0.7000000000000001,27,0.6527327431572808,0.7037037037037037,0.050970960546422917
kepler,test,temperature_scaled,1.3465145826339722,7,0.7000000000000001,0.8,42,0.7517263009434655,0.8095238095238095,0.05779750858034405
kepler,test,temperature_scaled,1.3465145826339722,8,0.8,0.9,88,0.8595614385875788,0.9318181818181818,0.07225674323060294
kepler,test,temperature_scaled,1.3465145826339722,9,0.9,1.0,193,0.9442701160598913,0.9637305699481865,0.019460453888295204
tess,test,raw,1.0,0,0.0,0.1,1249,0.005071409611871615,0.0016012810248198558,0.003470128587051759
tess,test,raw,1.0,1,0.1,0.2,42,0.13997085019946098,0.09523809523809523,0.04473275496136575
tess,test,raw,1.0,2,0.2,0.30000000000000004,19,0.24225016330417834,0.15789473684210525,0.08435542646207309
tess,test,raw,1.0,3,0.30000000000000004,0.4,10,0.35013251900672915,0.2,0.15013251900672914
tess,test,raw,1.0,4,0.4,0.5,20,0.45455255508422854,0.15,0.3045525550842285
tess,test,raw,1.0,5,0.5,0.6000000000000001,10,0.5574485301971436,0.1,0.4574485301971436
tess,test,raw,1.0,6,0.6000000000000001,0.7000000000000001,9,0.6669298675325182,0.1111111111111111,0.555818756421407
tess,test,raw,1.0,7,0.7000000000000001,0.8,15,0.7452451626459757,0.4666666666666667,0.27857849597930906
tess,test,raw,1.0,8,0.8,0.9,30,0.852615882953008,0.6,0.2526158829530081
tess,test,raw,1.0,9,0.9,1.0,251,0.9867648054879025,0.9482071713147411,0.03855763417316138
tess,test,temperature_scaled,1.2808585166931152,0,0.0,0.1,1215,0.008061404777545586,0.0008230452674897119,0.007238359510055874
tess,test,temperature_scaled,1.2808585166931152,1,0.1,0.2,58,0.14436484410845,0.017241379310344827,0.12712346479810516
tess,test,temperature_scaled,1.2808585166931152,2,0.2,0.30000000000000004,27,0.24037899904780918,0.18518518518518517,0.05519381386262401
tess,test,temperature_scaled,1.2808585166931152,3,0.30000000000000004,0.4,17,0.33275045191540437,0.17647058823529413,0.15627986368011024
tess,test,temperature_scaled,1.2808585166931152,4,0.4,0.5,23,0.45735239075577777,0.17391304347826086,0.2834393472775169
tess,test,temperature_scaled,1.2808585166931152,5,0.5,0.6000000000000001,10,0.5449762046337128,0.1,0.4449762046337128
tess,test,temperature_scaled,1.2808585166931152,6,0.6000000000000001,0.7000000000000001,17,0.6559996675042545,0.29411764705882354,0.361882020445431
tess,test,temperature_scaled,1.2808585166931152,7,0.7000000000000001,0.8,22,0.7567889311096885,0.5454545454545454,0.21133438565514306
tess,test,temperature_scaled,1.2808585166931152,8,0.8,0.9,27,0.8408849614637869,0.6296296296296297,0.21125533183415723
tess,test,temperature_scaled,1.2808585166931152,9,0.9,1.0,239,0.9770148216929895,0.9623430962343096,0.014671725458679896
