name,flip_prob,noise_std,lr,dropout,use_sampler,use_pos_weight,f1@0.5,mcc@0.5,best_thr,f1@best,mcc@best,ap
gentle_aug_no_sampler,0.15,0.005,0.00015,0.2,False,True,0.8922558922558923,0.8711729606739531,0.7500000000000002,0.9151943462897526,0.8978363464295825,0.9752495924097601
no_sampler_no_posw,0.5,0.01,0.0002,0.2,False,False,0.9113475177304965,0.8932151369851694,0.5000000000000001,0.9113475177304965,0.8932151369851694,0.9698990530810605
no_sampler,0.5,0.01,0.0002,0.2,False,True,0.8907849829351536,0.8688194750901197,0.7000000000000002,0.9090909090909091,0.8922249357409445,0.9715925566253935
base,0.5,0.01,0.0002,0.2,True,True,0.8702791461412152,0.8457330024953449,0.9000000000000002,0.896797153024911,0.8757243632789525,0.9679737614044474
no_posw,0.5,0.01,0.0002,0.2,True,False,0.8862068965517241,0.8629857852898215,0.7000000000000002,0.8936170212765957,0.8718417194310885,0.9684073881091055
no_aug_sampler_no_posw,0.0,0.0,0.0002,0.2,True,False,0.8787878787878788,0.8547277669140467,0.6000000000000002,0.89198606271777,0.869841116332812,0.9634049191285091
drop03_sampler_posw,0.5,0.01,0.0002,0.3,True,True,0.8308157099697885,0.8053029883093535,0.9000000000000002,0.8908145580589255,0.8684838498114283,0.9648333394210166
drop01_sampler_posw,0.5,0.01,0.0002,0.1,True,True,0.8527131782945736,0.8294876388225891,0.9000000000000002,0.889261744966443,0.8676864153646731,0.9703200982276812
lr1e4_sampler_posw,0.5,0.01,0.0001,0.2,True,True,0.8251121076233184,0.799563422494912,0.9000000000000002,0.8854700854700854,0.8623014343883506,0.9714073955396471
no_aug_sampler_posw,0.0,0.0,0.0002,0.2,True,True,0.8694214876033057,0.8442445944679312,0.8500000000000002,0.8817567567567568,0.8582045533071423,0.9629530051496167
