dataset,case,index,view,saliency_peak_index,saliency_peak_relative_position,saliency_peak_distance_to_center,saliency_central_importance_ratio,smoothgrad_peak_index,smoothgrad_peak_relative_position,smoothgrad_peak_distance_to_center,smoothgrad_central_importance_ratio,integrated_gradients_peak_index,integrated_gradients_peak_relative_position,integrated_gradients_peak_distance_to_center,integrated_gradients_central_importance_ratio,gradcam_peak_index,gradcam_peak_relative_position,gradcam_peak_distance_to_center,gradcam_central_importance_ratio,gradcam_multiscale_peak_index,gradcam_multiscale_peak_relative_position,gradcam_multiscale_peak_distance_to_center,gradcam_multiscale_central_importance_ratio,occlusion_peak_index,occlusion_peak_relative_position,occlusion_peak_distance_to_center,occlusion_central_importance_ratio,consensus_peak_index,consensus_peak_relative_position,consensus_peak_distance_to_center,consensus_central_importance_ratio,top10_overlap_saliency_gradcam,top10_overlap_gradcam_multiscale_occlusion,top10_overlap_gradcam_multiscale_integrated_gradients,top10_overlap_saliency_smoothgrad,top10_overlap_saliency_integrated_gradients,top10_overlap_smoothgrad_integrated_gradients,top10_overlap_integrated_gradients_occlusion,top10_overlap_consensus_integrated_gradients,top10_overlap_consensus_occlusion
kepler,positivo_correcto_alta_confianza,1132,global,1294,0.647,294.0,0.11554021069569284,1299,0.6495,299.0,0.11638333984731175,1000,0.5,0.0,0.32485979653022634,1189,0.5945,189.0,0.0,996,0.498,4.0,0.3603113154544764,990,0.495,10.0,0.4591033982975874,1000,0.5,0.0,0.4228525913931988,0.25,0.29,0.345,0.94,0.325,0.35,0.205,0.36,0.755
kepler,positivo_correcto_alta_confianza,1132,local,101,0.505,1.0,0.5342854320649048,101,0.505,1.0,0.5381613016613703,92,0.46,8.0,0.78487712551857,149,0.745,49.0,0.0,90,0.45,10.0,0.8550685738899765,90,0.45,10.0,0.9339551975471685,92,0.46,8.0,0.7868107516783621,0.0,0.85,0.7,0.95,0.75,0.75,0.8,0.85,0.8
kepler,negativo_correcto_alta_confianza,1365,global,1560,0.78,560.0,0.14187396741411618,1560,0.78,560.0,0.1490329050948766,339,0.1695,661.0,0.09407781686091413,1336,0.668,336.0,0.1851617238337791,1672,0.836,672.0,0.033874911904594615,0,0.0,1000.0,0.0,1673,0.8365,673.0,0.07528549735877257,0.08,0.025,0.365,0.365,0.64,0.365,0.025,0.465,0.04
kepler,negativo_correcto_alta_confianza,1365,local,110,0.55,10.0,0.4570319234265205,110,0.55,10.0,0.49809644710061374,110,0.55,10.0,0.8088018335098432,110,0.55,10.0,0.9104200276043387,110,0.55,10.0,0.7926236665949634,0,0.0,100.0,0.0,110,0.55,10.0,0.6565128421504275,0.6,0.0,0.8,0.7,0.75,0.65,0.1,0.8,0.0
kepler,cerca_del_umbral,275,global,1076,0.538,76.0,0.8231207956741825,1076,0.538,76.0,0.8201458338744199,910,0.455,90.0,0.28712165159027503,1025,0.5125,25.0,0.741855543212148,1010,0.505,10.0,0.7251573498278525,1200,0.6,200.0,0.1872578618987323,1076,0.538,76.0,0.3741684993046942,0.535,0.0,0.27,0.95,0.38,0.375,0.095,0.295,0.675
kepler,cerca_del_umbral,275,local,101,0.505,1.0,0.6790557278531465,101,0.505,1.0,0.6946437222931944,101,0.505,1.0,0.8380249934576537,98,0.49,2.0,0.9940325518473493,99,0.495,1.0,0.8428741480960136,78,0.39,22.0,0.3444131427954547,101,0.505,1.0,0.5704387156998879,0.65,0.25,0.6,0.9,0.7,0.65,0.1,0.5,0.6
kepler,falso_positivo,677,global,1288,0.644,288.0,0.2837354275230899,1288,0.644,288.0,0.2938371482006624,999,0.4995,1.0,0.36410591829131117,1025,0.5125,25.0,0.2516269937216176,996,0.498,4.0,0.48682803021076015,990,0.495,10.0,0.4161966684747999,999,0.4995,1.0,0.4216357732188198,0.09,0.275,0.32,0.935,0.37,0.36,0.235,0.275,0.82
kepler,falso_positivo,677,local,99,0.495,1.0,0.7129904196030048,100,0.5,0.0,0.7046538803157733,92,0.46,8.0,0.8037508265700937,104,0.52,4.0,0.29213209939623613,90,0.45,10.0,0.8858266812448248,90,0.45,10.0,0.9553278074531643,92,0.46,8.0,0.851903280866289,0.65,0.8,0.7,0.9,0.7,0.75,0.7,0.8,0.9
kepler,falso_negativo,1343,global,1001,0.5005,1.0,0.5366097386850586,1001,0.5005,1.0,0.5244350627232619,1001,0.5005,1.0,0.27084996025705865,861,0.4305,139.0,0.18210326497276294,997,0.4985,3.0,0.4069950451402802,1200,0.6,200.0,0.37288154878031177,1001,0.5005,1.0,0.38615752485437904,0.035,0.375,0.37,0.94,0.42,0.425,0.115,0.19,0.85
kepler,falso_negativo,1343,local,22,0.11,78.0,0.09364331066125377,22,0.11,78.0,0.0897920955697226,175,0.875,75.0,0.21872147943830314,106,0.53,6.0,0.3896076448931934,176,0.88,76.0,0.04725000441683652,174,0.87,74.0,0.019337797400200397,176,0.88,76.0,0.08265190135685575,0.0,0.65,0.45,1.0,0.65,0.65,0.4,0.75,0.65
